name,city,state,lat,lng,price
SPEEDWAY #4574,Loris,SC,34.0558,-78.9161,3.269
SPEEDWAY #8741,Eagle,MI,42.8263,-84.759,3.789
CHUBBYS TRAVEL CENTER,Natalia,TX,29.2117,-98.8552,2.97233333
Joe's Kwik Mart #473,Lancaster,NY,42.9017,-78.6631,3.659
EXPRESSWAY,Heron Lake,MN,43.7979,-95.3267,3.299
HIGHWAY SERVICE,Seekonk,MA,41.8378,-71.3224,3.319
SPEEDWAY #7954,Richlands,NC,34.8624,-77.5863,3.324
ALLSUPS CONVENIENCE #2398,Pampa,TX,35.5357,-100.95695,3.079
CHOCTAW TRAVEL PLAZA #641,Stringtown,OK,34.4676,-96.0002,3.159
PILOT TRAVEL CENTER #575,Saint Marys,GA,30.7305,-81.5465,3.599
CIRCLE K #2741553,Lampasas,TX,31.068,-98.1834,2.759
CIRCLE K #2741328,Hewitt,TX,31.4582,-97.1966,2.86566666
SPRINT MART #67,Vidalia,LA,31.5782,-91.4695,3.08233333
PETRO STOP #394,Pearsall,TX,28.8923,-99.0944,3.53566666
KWIK TRIP #733,Caledonia,MN,43.6221,-91.4837,3.49066666
PUMP & PANTRY #14,Broken Bow,NE,41.4126,-99.6355,3.299
PUMP & PANTRY #4,Cairo,NE,41.0002,-98.6165,3.32733333
SHEETZ #512,Kernersville,NC,36.1182,-80.0784,2.844
CAPITAL FUELS MYTON,Myton,UT,40.194,-110.0481,3.50233333
STRIPES #40535,Cotulla,TX,28.4398,-99.2328,3.339
Express Lane,Annawan,IL,41.398,-89.9129,3.299
LOVES TRAVEL STOP #480,Lenoir City,TN,35.79935,-84.24265,3.439
J & H FAMILY STORE,Lowell,MI,42.955,-85.3653,3.789
ROCKFORD MOBIL MART,Rockford,MI,43.1176,-85.5368,3.299
J & H FAMILY STORE #103,Hudsonville,MI,42.8748,-85.8751,3.399
TA CARYVILLE,Pioneer,TN,36.4695,-84.2907,3.00733333
DUCK THRU #41,Hertford,NC,36.17935,-76.4196,3.599
SPEEDWAY #1224,Mason,OH,39.3357,-84.3149,3.159
CASEYS #3062,Medicine Lodge,KS,37.2845,-98.5848,3.114
TIGER MART #79,Waxahachie,TX,32.377667,-96.8234,2.849
PUMP & PANTRY #53,Jackson,NE,42.4529,-96.5743,3.41233333
GULF MART 5150,Natick,MA,42.2875,-71.3574,4.06566666
GAS N GO,Fort Valley,GA,32.5496,-83.8887,3.18233333
STRIPES 7FLEET #42491,Big Lake,TX,31.417,-101.5423,3.549
KWIK TRIP #874,Chisago City,MN,45.3611,-92.8921,3.32733333
BP,Jefferson,WI,43.0006,-88.8078,3.209
MARATHON,Rosedale,VA,36.9593,-81.9312,3.749
RUTTERS #23,Mountville,PA,40.0427,-76.4277,3.979
AMOCO,Burgaw,NC,34.5487,-77.9403,3.599
SHEETZ #656,Kane,PA,41.6619,-78.7978,3.699
TOOT N TOTUM #23,Borger,TX,35.6678,-101.3974,3.01566666
ALLTOWN MARKETS #2743,North Billerica,MA,42.5757,-71.2902,3.68233333
FLYING J #97,Vandalia,OH,39.8883,-84.2023,3.35233333
JOES KWIK MARTS #475,Orange,VA,38.2192,-78.0461,3.33233333
KWIK TRIP #608,Chatfield,MN,43.8362,-92.1574,3.48233333
KWIK TRIP #313,Neillsville,WI,44.5494,-90.6112,3.339
CHEVRON DBA ONE9 #1429,Fruitland,ID,44.0027,-116.9143,3.349
TA EXPRESS #6259,Alexander,ND,47.7947,-103.6546,3.52566666
JIFFY TRIP #201,Cherokee,OK,36.7564,-98.3594,3.269
STRIPES #40801,Karnes City,TX,28.8828,-97.9071,3.174
MAVERIK COUNTRY STORE #444,Monticello,UT,37.9217,-109.3153,3.489
PETRO-CARD 24 #910450,Macon,MO,39.7481,-92.4622,3.239
SHELL,Grand Blanc,MI,42.9231,-83.6217,3.799
CIRCLE K #2741559,Burnet,TX,30.7766,-98.2642,2.91566666
QUARLES #4907,Norfolk,VA,36.896771,-76.258424,3.809
LOVES TRAVEL STOP #514,Ritzville,WA,47.1315,-118.3958,3.919
SHORT STOP #24,Saint Marys,KS,39.1987,-96.0683,2.96733333
SHORT STOP #22,Clay Center,KS,39.3844,-97.1278,2.97233333
SHORT STOP #25,Washington,KS,39.8223,-97.0484,2.90233333
ALLTOWN MARKETS #839,Darien,CT,41.0768,-73.4853,3.83233333
Maplefields,Ticonderoga,NY,43.8463,-73.4426,3.749
SWEET CRUDE TRAVEL CENTER,Grassy Butte,ND,47.4431,-103.2944,3.64066666
SPINX #201,Simpsonville,SC,34.7237,-82.27215,2.96566666
REFUEL #1038,Hartsville,SC,34.37075,-80.1083,3.36566666
CIRCLE K #2723192,Siler City,NC,35.7354,-79.4566,2.949
REFUEL #1028,Society Hill,SC,34.4512,-79.8865,3.399
SPEEDWAY #7960,Farmville,NC,35.5806,-77.5793,2.899
KWIK TRIP #204,Wausau,WI,44.939733,-89.6695,3.33233333
SPEEDWAY #6303,Muskegon,MI,43.228367,-86.239633,3.279
SPEEDWAY #7461,Alsip,IL,41.6721,-87.7357,3.219
PILOT TRAVEL CENTER #1225,Mascoutah,IL,38.4745,-89.7877,3.799
PILOT DEALER #1193,Wikieup,AZ,34.7033,-113.6113,3.839
PILOT #1192,Wittmann,AZ,33.7637,-112.6142,4.899
PILOT DEALER #1058,Waldo,FL,29.7871,-82.1608,3.799
MACH ONE FOOD SHOP #18,Fairfield,IL,38.3782,-88.3593,3.729
BROMPTON VALERO,Moody,AL,33.6035,-86.4668,3.12233333
DUCK THRU #7,Rich Square,NC,36.2773,-77.2969,3.699
A PLUS MINI MARKET,Aberdeen,MD,39.5109,-76.1805,3.83233333
Circle K #2746432,Stanley,ND,48.3458,-102.4185,3.549
SPEEDWAY #3478,Perth Amboy,NJ,40.4738,-74.34635,3.419
SPEEDWAY #2907,Hermitage,PA,41.2326,-80.453,3.93733333
CIRCLE K #2741318,Dripping Springs,TX,30.2268,-98.1029,3.049
CIRCLE K #4701445,Rantoul,IL,40.3107,-88.1462,3.599
SHEETZ #497,Claysburg,PA,40.2821,-78.5083,3.644
SHEETZ #498,Blairsville,PA,40.4413,-79.2533,3.52733333
Amoco,Oglesby,IL,41.2928,-89.0553,3.199
BP,Hartford,SD,43.6155,-96.9501,2.97733333
SPEEDWAY #6395,Waterville,OH,41.5022,-83.7331,3.699
CIRCLE K #2741217,Bernalillo,NM,35.3285,-106.5309,3.52566666
DOUBLE QUICK #61,Leland,MS,33.3985,-90.8839,3.299
LATTA TRAVEL STOP,Ada,OK,34.77725,-96.68535,3.10733333
BEACON & BRIDGE #34,Houghton Lake,MI,44.3147,-84.7647,3.399
SPEEDWAY #8013,Brookville,OH,39.8414,-84.4165,3.34066666
CIRCLE K #2741545,Cuero,TX,29.091,-97.2812,3.099
MACH 1 #21,Harrisburg,IL,37.7257,-88.544,3.689
STRIPES 7FLEET #42530,Llano,TX,30.7151,-98.6109,3.23233333
BLU STATION,Plainfield,IN,39.6893,-86.3919,3.479
LOVES TRAVEL STOP #557,Searcy,AR,35.256133,-91.7319,3.36233333
EXXON,Lawrenceville,PA,41.9783,-77.1136,3.699
CIRCLE K #2741557,Killeen,TX,31.085317,-97.7284,2.76233333
EL TIPI QUICK STOP,Shattuck,OK,36.2889,-99.8793,3.23233333
ALLSUPS CONVENIENCE STORE #2105,Cisco,TX,32.38,-98.9865,2.929
KWIK TRIP #573,Eau Claire,WI,44.809967,-91.5007,3.399
KWIK TRIP #231,Boscobel,WI,43.1393,-90.7061,3.474
KWIK TRIP #860,Rhinelander,WI,45.7045,-89.3866,3.45233333
KWIK TRIP #854,Norwood Young America,MN,44.7736,-93.9216,3.674
FLYING J TRAVEL PLAZA #1015- TOWN PUMP,Sidney,MT,47.713,-104.1634,3.384
LOVES TRAVEL STOP #426,Shelby,IA,41.5339,-95.4469,3.649
LOVES TRAVEL STOP #495,North Fort Myers,FL,26.698667,-81.8787,3.789
XtraMart #1513,Clifton Park,NY,42.8499,-73.7851,3.899
SPEEDWAY #8080,Angola,IN,41.6563,-85.0198,3.599
LOVES TRAVEL STOP #559,Indianola,MS,33.451,-90.6551,3.31566666
PILOT TRAVEL CENTER #1013-TOWN PUMP,Belgrade,MT,45.7801,-111.1439,3.63066666
LOVES TRAVEL STOP #561,Defuniak Springs,FL,30.7852,-86.15875,3.609
Certified Oil #400305,New Martinsville,WV,39.6588,-80.8565,3.31733333
CASEYS #3654,Brainerd,MN,46.3502,-94.1,3.44566666
CIRCLE K #2705988,Tallahassee,FL,30.45475,-84.280195,3.619
KWIK TRIP #213,Stacy,MN,45.39775,-93.00255,3.37733333
Circle K #2741498,Tilden,TX,28.4198,-98.5693,3.199
MAVERIK #5031,Rifle,CO,39.5491,-107.7898,3.46233333
DANDY MINI MART #58,Campbell,NY,42.2386,-77.2066,3.899
CIRCLE K #2705097,Palmetto,FL,27.53215,-82.56765,3.699
STRIPES #40812,Odem,TX,27.9403,-97.5838,3.199
JOES KWIK MARTS #6013,Denver,NC,35.4837,-80.9898,3.189
PILOT TRAVEL CENTER #597,Chillicothe,OH,39.338,-82.9895,3.799
KWIK TRIP #225,Seymour,WI,44.5091,-88.3172,3.39066666
KWIK TRIP #239,Big Bend,WI,42.8885,-88.2122,3.33233333
SPEEDWAY #7946,Newport,NC,34.7551,-76.9069,3.699
MAVERIK #5150,Wellington,CO,40.7255,-105.0318,3.199
SPEEDWAY #6977,Youngsville,NC,36.0249,-78.4744,2.95233333
THE LANDING,Greenwood,MS,33.51605,-90.17605,3.199
83 FUEL STOP,Catarina,TX,28.3598,-99.586,2.959
CIRCLE K #2741077,Pleasanton,TX,28.9924,-98.4831,2.949
SPEEDWAY #7162,Cleveland,TN,35.16302,-84.85842,3.449
KWIK TRIP #234,Cloquet,MN,46.7546,-92.5408,3.319
SPEEDWAY #7912,Wilkesboro,NC,36.1359,-81.1573,3.134
SPEEDWAY #8262,Grantsboro,NC,35.0668,-76.871,3.44066666
SPEEDWAY #6969,Belhaven,NC,35.4458,-76.6391,3.19733333
ROAD RANGER #268,Grayville,IL,38.2627,-88.0035,3.799
LOVES TRAVEL STOP #578,Hamel,IL,38.8901,-89.8457,3.419
PILOT TRAVEL CENTER #1012,Mount Pleasant,IA,40.9646,-91.5614,3.56566666
Shrees Truck Stop Seattle,Seattle,WA,47.603675,-122.330976,3.799
PILOT #1042,Bridgeview,IL,41.7431,-87.8066,3.799
CIRCLE K #4707006,Houlton,ME,46.1189,-67.863,3.899
SPEEDWAY #6139,Pierceton,IN,41.2124,-85.7061,3.729
THORNTONS #442562,Monroe,OH,39.4413,-84.3652,3.199
CIRCLE K #2741078,Stockdale,TX,29.2319,-97.9351,3.079
D AND C FUEL SALES,Tunkhannock,PA,41.5387,-75.9466,3.699
SPEEDWAY #2910,Pittsburgh,PA,40.441256,-80.003773,3.909
CIRCLE K #4702411,Danville,IN,39.7628,-86.5343,3.789
HART MARATHON,Hart,MI,43.7068,-86.3142,3.449
Circle K #4703911,Portland,TN,36.5673,-86.5059,2.959
SPEEDWAY #2912,Baden,PA,40.6416,-80.1985,3.91233333
7-Eleven #42340,Woodway,TX,31.5051,-97.2311,2.93233333
CIRCLE K #4705628,Barberton,OH,41.0197,-81.6212,3.58233333
CASEYS #2967,Bennet,NE,40.68,-96.5064,3.229
KWIK TRIP #209,Kaukauna,WI,44.2956,-88.2717,3.369
LOVES TRAVEL STOP #600,Pendleton,IN,39.9975,-85.7466,3.57566666
